,,,Rat target sites,,Mouse target sites,
Trichloroethylene (without epichlorohydrin) *,79-01-6,-,-,-,liv,liv
Trichlorofluoromethane *,75-69-4,-,I,I,-,-
"2,4,6-Trichlorophenol *",88-06-2,-,hmo,-,liv,liv
"1,2,3-Trichloropropane",96-18-4,+,ezy kid orc pan pre sto,cli ezy mgl orc sto,hag liv sto,hag liv orc sto ute
Tricresyl phosphate,1330-78-5,-,-,-,-,-
"Trifluralin, technical grade *",1582-09-8,+,-,-,-,liv lun sto
"2,4,5-Trimethylaniline",137-17-7,+,liv,liv lun,-,liv
Trimethylphosphate,512-56-1,+,"-a, u",-,-,ute
Trimethylthiourea,2489-77-2,-,-,thy,-,-
Triphenyltin hydroxide,76-87-9,-,-,-,-,-
Tris(2-chloroethyl)phosphate *,115-96-8,-,kid,kid,-e,-e
"Tris(2,3-dibromopropyl)phosphate *",126-72-7,+,kid,kid,kid lun sto,liv lun sto
Tris(2-ethylhexyl)phosphate,78-42-2,-,-e,-,-,livs
l-Tryptophan *,73-22-3,-,-,-,-,-
Turmeric oleoresin (79%-85% curcumin),8024-37-1,-,-,-e,-e,-e
Vinyl toluene (65-71% m- and 32-35% p-),25013-15-4,-,-,-,-,-
4-Vinylcyclohexene,100-40-3,-,I,I,I,ova
Vinylidene chloride *,75-35-4,+,-,-,-,-
"Xylene mixture (60% m-xylene, 9% o-xylene, 14% p-xylene, 17% ethylbenzene)",1330-20-7,-,-,-,-,-
C.I. disperse yellow 3,2832-40-8,+,liv,-,-,liv
C.I. pigment yellow 12 *,6358-85-6,-,-,-,-,-
C.I. vat yellow 4,128-66-5,-,-,-,hmo,-
FD & C yellow no. 6 *,2783-94-0,-,-,-,-,-
HC yellow 4,59820-43-8,+,-e,-,-,-
Zearalenone,17924-92-4,-,-,-,pit,liv pit
Zinc dimethyldithiocarbamate *,137-30-4,+,thy,-,-,-e
Dextrose,137-30-4,+,thy,-,-,-e
Corn Starch,,-,-,-,-,-
Turmeric,,-,-,-e,-,-
